Year,Province,Births,Deaths,Temporary Residents,Permanent Residents,Population,Population_age_0 to 3 years,Population_age_18 to 50 years,Population_age_4 to 17 years,Population_age_50 years and above,Men+,Women+,Full-time educators,Part-time educators,Students,Beds,Physician
2009,Alberta,51537,20683,354371,27025,3679010,192598,1877434,627905,980637,1872065,1806945,31716,13914,567810,10700,7554
2009,British Columbia,44637,31409,500834,41450,4410513,175354,2069990,676066,1488317,2190964,2219549,27621,8754,549435,15250,9548
2009,Canada,382159,237330,2272043,252220,33630069,1484691,15857266,5463603,10819395,16664175,16965894,298785,93918,4747491,94164,68101
2009,Manitoba,15968,9917,46911,13520,1208555,60637,550168,221291,376199,599759,608796,12207,2124,177501,4141,2238
2009,New Brunswick,7394,6314,23299,1915,749956,28904,337097,113911,269900,369830,380126,7662,336,106392,2789,1460
2009,Newfoundland and Labrador,4946,4433,11032,605,516741,19431,233692,76401,187151,254402,262339,5622,2100,69666,2148,1117
2009,Northwest Territories,741,193,1481,105,43171,2673,23175,8874,8446,22253,20918,708,0,8562,169,43
2009,Nova Scotia,9131,8307,37213,2390,938266,35460,423923,141217,337470,458141,480125,10068,0,130236,3155,2174
2009,Nunavut,881,154,177,10,32604,3102,16112,9355,4035,16885,15719,651,0,9039,0,12
2009,Ontario,142368,87625,897894,106875,12998941,567523,6166075,2181207,4082360,6390712,6608229,128445,29727,2061390,31532,24515
2009,Prince Edward Island,1407,1183,4627,1760,139873,5700,61301,23278,49566,68305,71568,1407,243,19956,596,233
2009,Quebec,88520,57875,354058,49500,7843915,338404,3616344,1192237,2695796,3887303,3956612,62322,34605,879861,19815,17430
2009,Saskatchewan,14259,9019,38464,6890,1034791,53396,465078,186209,329823,516294,518497,9786,2118,162630,3554,1703
2009,Yukon,370,218,1682,175,33733,1509,16877,5652,9695,17262,16471,570,0,5010,49,74
2010,Alberta,50861,21346,361666,32655,3732104,199259,1884194,630108,1018080,1895079,1837025,31608,13173,573099,13311,7882
2010,British Columbia,43896,31713,552689,44195,4465557,178325,2082102,673697,1530610,2219483,2246074,27288,8673,565731,14970,9708
2010,Canada,378665,245667,2436291,280730,34005902,1515788,15904886,5429729,11150009,16848460,17157442,300507,93051,4746624,94536,69699
2010,Manitoba,15622,10274,46813,15810,1220782,62251,552891,221417,383954,605522,615260,12276,2154,177678,4394,2311
2010,New Brunswick,7140,6468,23815,2125,753034,29331,335050,112064,276429,371819,381215,7461,342,104421,2796,1546
2010,Newfoundland and Labrador,4777,4541,12703,715,522002,19801,233660,75711,192757,257474,264528,5697,1938,68655,2506,1152
2010,Northwest Territories,677,172,1393,135,43292,2720,23146,8640,8786,22258,21034,690,0,8574,169,34
2010,Nova Scotia,8837,8630,43319,2395,942144,35801,422352,138561,345241,461401,480743,9744,0,128130,3129,2126
2010,Nunavut,844,165,179,20,33359,3331,16477,9316,4235,17261,16098,663,0,8871,0,13
2010,Ontario,141073,91197,956386,118125,13136481,574605,6177975,2168452,4213536,6453672,6682809,130182,30273,2051865,31288,25044
2010,Prince Edward Island,1432,1182,5410,2595,141644,5818,61685,22978,51143,69195,72449,1539,213,21162,594,236
2010,Quebec,88662,60442,386846,53995,7929479,347595,3627161,1176422,2777045,3931892,3997587,62832,34203,869181,19815,17797
2010,Saskatchewan,14440,9347,43046,7615,1051426,55384,470956,186725,338039,525719,525707,10017,2082,164163,3806,1778
2010,Yukon,404,190,2026,350,34598,1567,17237,5638,10154,17685,16913,516,0,5088,49,72
2011,Alberta,51341,21553,327879,30960,3787705,202357,1889047,638301,1057501,1919059,1868646,31590,13056,574908,11015,8258
2011,British Columbia,43797,32262,557619,34785,4503819,178782,2078880,671165,1574065,2237671,2266148,27801,8307,556875,14030,9748
2011,Canada,380335,242669,2489426,248730,34339221,1524073,15909812,5414953,11484352,17013151,17326070,301365,91947,4723287,96149,72529
2011,Manitoba,15992,10104,45064,15965,1233353,62866,555209,222861,392115,611607,621746,11106,1959,178920,4330,2490
2011,New Brunswick,7250,6360,24962,1970,755590,29253,332451,110346,283352,373615,381975,7320,363,102579,2791,1612
2011,Newfoundland and Labrador,4373,4638,13642,685,524955,19853,231994,75106,197935,259030,265925,5724,1884,67830,2498,1179
2011,Northwest Territories,706,189,1324,85,43493,2706,23164,8534,9087,22322,21171,633,0,8511,169,38
